1      sunny         hot     high    weak
2      sunny         hot     high  strong
3   overcast         hot     high    weak
4      rainy        mild     high    weak
5      rainy        cool   normal    weak
6      rainy        cool   normal  strong
7   overcast        cool   normal  strong
8      sunny        mild     high    weak
9      sunny        cool   normal    weak
10     rainy        mild   normal    weak
11     sunny        mild   normal  strong
12  overcast        mild     high  strong
13  overcast         hot   normal    weak
14     rainy        mild     high  strong 
